scinam_birdtree,Xeno_cantoID,Date,Country,Locality,LAT,LON,Elevation,Recording length,Peak_frequency,Peak_frequency2
Epinecrophylla ornata,XC95640,2010-02-17,Ecuador,"Providencia Trail, Parque Nacional Yasuni, Orellana",-0.5001,-76.4603,250,87,6718.4,6718.4
Epinecrophylla ornata,XC258394,1995-05-00,Ecuador,Orellana: Right (s) bank Río Napo opposite 'La Selva Lodge' and 'Sacha Lodge',-0.507,-76.457,235,54,7062.9,7062.9
Epinecrophylla spodionota,XC260764,2002-03-19,Ecuador,Napo: 3 km NW Guagua Sumaco,-0.693,-77.605,1260,29,6373.8,6373.8
Epinecrophylla spodionota,XC3889,2002-06-23,Ecuador," Loreto Road, Napo",-0.6959,-77.7303,1150,26,6373.8,6373.8
Epinecrophylla spodionota,XC249822,2002-08-20,Ecuador,Morona-Santiago: w-slope Cord. de Cutucú,-2.432,-78.049,1350,56,6373.8,6373.8
Epinecrophylla spodionota,XC41026,2008-10-29,Peru,"Quebrada Mishquiyacu, Moyobamba, San Martin",-6.0792,-76.9762,950,30,8441,8441
Epinecrophylla spodionota,XC41711,2009-12-20,Peru,"Quebrada Mishquiyacu, Moyobamba, San Martin",-6.0792,-76.9762,1100,60,6373.8,6373.8
Epthianura crocea,XC318532,2016-05-24,Australia,"Roebuck Plains Station, Western Australia",-17.9571,122.4085,10,19,3617.6,3617.6
Epthianura tricolor,XC44282,2009-09-09,Australia,"Belah, Gundabooka National Park, NSW",-30.5524678,145.6015921,125,23,3962.1,3962.1
Eremalauda dunni,XC212842,2015-02-01,Morocco,"KM 205 Aousserd Road, Western Sahara",22.5972,-14.4034,300,40,2756.2,2756.2
Eremalauda dunni,XC308289,2016-03-05,Morocco,"Oued Jenna, Western Sahara",22.6702,-14.4972,280,10,5512.5,5512.5
eremalauda starki,ML61156,1993-03-13,Namibia,100.0 km W of Omaruru on C36,-21.5,16,N/A,82,3617.6,3617.6
Eremomela atricollis,XC339171,2016-09-23,Zambia,"Kasanka National Park, Northern Province",-12.554,30.295,N/A,12,3962.1,3962.1
Eremomela canescens,XC209994,2014-12-28,Ethiopia,"Simbo Resort, Lake Langano  ",7.5479,38.6835,1600,111,4823.4,4823.4
Eremomela canescens,XC306015,2015-12-24,Ethiopia,"Simbo Beach Resort, Lake Langano, Oromia",7.5497,38.6818,1600,30,4478.9,4478.9
Eremomela flavicrissalis,XC209995,2015-01-05,Ethiopia,"Negele - Soda Road, 11 km west of Hudet",4.7351,39.2277,850,56,5684.8,5684.8
