"source","id","Title","taxon","file","author","post_date","size","size_raw","type","NonSpecimen","Date","Time","Duration"
"ColinBirds","Site1-B-sd_card-BG08_20180101_113000","","","Site1/B-sd_card/Data01b/BG08_20180101_113000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_120000","","","Site1/B-sd_card/Data01b/BG08_20180101_120000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_123000","","","Site1/B-sd_card/Data01b/BG08_20180101_123000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_130000","","","Site1/B-sd_card/Data01b/BG08_20180101_130000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_133000","","","Site1/B-sd_card/Data01b/BG08_20180101_133000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_140000","","","Site1/B-sd_card/Data01b/BG08_20180101_140000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_143000","","","Site1/B-sd_card/Data01b/BG08_20180101_143000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_150000","","","Site1/B-sd_card/Data01b/BG08_20180101_150000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_153000","","","Site1/B-sd_card/Data01b/BG08_20180101_153000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_160000","","","Site1/B-sd_card/Data01b/BG08_20180101_160000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_163000","","","Site1/B-sd_card/Data01b/BG08_20180101_163000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_170000","","","Site1/B-sd_card/Data01b/BG08_20180101_170000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_173000","","","Site1/B-sd_card/Data01b/BG08_20180101_173000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_180000","","","Site1/B-sd_card/Data01b/BG08_20180101_180000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_183000","","","Site1/B-sd_card/Data01b/BG08_20180101_183000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_190000","","","Site1/B-sd_card/Data01b/BG08_20180101_190000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_193000","","","Site1/B-sd_card/Data01b/BG08_20180101_193000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_200000","","","Site1/B-sd_card/Data01b/BG08_20180101_200000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_203000","","","Site1/B-sd_card/Data01b/BG08_20180101_203000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_210000","","","Site1/B-sd_card/Data01b/BG08_20180101_210000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_213000","","","Site1/B-sd_card/Data01b/BG08_20180101_213000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_220000","","","Site1/B-sd_card/Data01b/BG08_20180101_220000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_223000","","","Site1/B-sd_card/Data01b/BG08_20180101_223000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_230000","","","Site1/B-sd_card/Data01b/BG08_20180101_230000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180101_233000","","","Site1/B-sd_card/Data01b/BG08_20180101_233000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180102_000000","","","Site1/B-sd_card/Data01b/BG08_20180102_000000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180102_003000","","","Site1/B-sd_card/Data01b/BG08_20180102_003000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180102_010000","","","Site1/B-sd_card/Data01b/BG08_20180102_010000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180102_013000","","","Site1/B-sd_card/Data01b/BG08_20180102_013000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180102_020000","","","Site1/B-sd_card/Data01b/BG08_20180102_020000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180102_023000","","","Site1/B-sd_card/Data01b/BG08_20180102_023000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180102_030000","","","Site1/B-sd_card/Data01b/BG08_20180102_030000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180102_033000","","","Site1/B-sd_card/Data01b/BG08_20180102_033000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-B-sd_card-BG08_20180102_040000","","","Site1/B-sd_card/Data01b/BG08_20180102_040000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
